date,median.price
1/31/2012,207000
2/28/2012,280000
3/31/2012,233000
4/30/2012,205000
5/31/2012,266000
6/30/2012,315000
7/31/2012,285000
8/31/2012,315000
9/30/2012,319000
10/31/2012,225000
11/30/2012,305000
12/28/2012,255000
1/31/2013,250000
2/28/2013,269000
3/31/2013,212000
4/30/2013,392000
5/31/2013,315000
6/30/2013,312000
7/31/2013,306000
8/31/2013,359000
9/30/2013,310000
10/31/2013,243000
11/30/2013,235000
12/28/2013,250000
1/31/2014,250000
2/28/2014,236000
3/31/2014,196000
4/30/2014,239000
5/31/2014,325000
6/30/2014,375000
7/31/2014,287000
8/31/2014,324000
9/30/2014,293000
10/31/2014,235000
11/30/2014,295000
12/28/2014,315000
1/31/2015,202000
2/28/2015,341000
3/31/2015,196000
4/30/2015,324000
5/31/2015,278000
6/30/2015,310000
7/31/2015,291000
8/31/2015,289000
9/30/2015,314000
10/31/2015,280000
11/30/2015,250000
12/28/2015,285000
1/31/2016,315000
2/28/2016,373000
3/31/2016,301000
4/30/2016,375000
5/31/2016,308000
6/30/2016,350000
7/31/2016,351000
8/31/2016,350000
9/30/2016,315000
10/31/2016,314000
11/30/2016,353000
12/28/2016,265000
1/31/2017,225000
2/28/2017,251000
3/31/2017,284000
4/30/2017,392000
5/31/2017,319000
6/30/2017,324000
7/31/2017,267000
8/31/2017,397000
9/30/2017,265000
10/31/2017,311000
11/30/2017,335000
12/28/2017,332000
1/31/2018,248000
2/28/2018,352000
3/31/2018,254000
4/30/2018,340000
5/31/2018,336000
6/30/2018,418000
7/31/2018,414000
8/31/2018,305000
9/30/2018,317000
10/31/2018,379000
11/30/2018,255000
12/28/2018,306000
1/31/2019,347000
2/28/2019,445000
3/31/2019,342000
4/30/2019,365000
5/31/2019,363000
6/30/2019,360000
7/31/2019,375000
8/31/2019,392000
9/30/2019,480000
10/31/2019,343000
11/30/2019,320000
12/28/2019,325000
1/31/2020,281000
2/28/2020,548000
3/31/2020,293000
4/30/2020,335000
5/31/2020,373000
6/30/2020,394000
7/31/2020,392000
8/31/2020,372000
9/30/2020,362000
10/31/2020,325000
11/30/2020,438000
12/28/2020,338000
1/31/2021,336000
2/28/2021,575000
3/31/2021,339000
4/30/2021,429000
5/31/2021,530000
6/30/2021,455000
7/31/2021,560000
8/31/2021,362000
9/30/2021,505000
10/31/2021,524000
11/30/2021,360000
12/28/2021,513000
1/31/2022,375000
2/28/2022,582000
3/31/2022,383000
4/30/2022,470000
5/31/2022,484000
6/30/2022,457000
7/31/2022,631000
8/31/2022,590000
9/30/2022,353000
10/31/2022,405000
11/30/2022,730000
12/28/2022,416000
1/31/2023,578000
2/28/2023,327000
3/31/2023,408000
4/30/2023,478000
5/31/2023,402000
6/30/2023,675000
7/31/2023,574000
8/31/2023,430000
9/30/2023,473000
10/31/2023,421000
11/30/2023,510000
12/28/2023,513000
1/31/2024,450000
2/28/2024,420000
3/31/2024,395000
4/30/2024,461000
5/31/2024,540000
6/30/2024,705000
7/31/2024,700000
8/31/2024,510000
9/30/2024,670000
10/31/2024,460000
11/30/2024,605000
12/28/2024,575000
1/31/2025,425000
2/28/2025,663000
3/31/2025,513000
4/30/2025,533000
5/31/2025,688000
6/30/2025,405000
7/31/2025,600000
8/31/2025,582000
9/30/2025,640000
10/31/2025,798000
11/30/2025,425000
12/28/2025,661000
1/31/2026,468000
2/28/2026,609000
